"Area","Region_name","Year","Obesity","Geo_zones","Obesity_m","Obesity_f","Overweight","Overweight_m","Overweight_f","Overweight_minor_age","Overweight_minor_age_m","Overweight_minor_age_f","Population","Population_m","Population_f","Ageing_index","More_65","More_65_m","More_65_f","Foreign_perc","Foreign_perc_m","Foreign_perc_f","Foreign_ue_perc","Foreign_ue_perc_m","Foreign_ue_perc_f","More_65_alone","More_65_alone_m","More_65_alone_f","Mean_family_components","AtLeast_1stGr_2ndry_school_perc","AtLeast_1stGr_2ndry_school_perc_m","AtLeast_1stGr_2ndry_school_perc_f","More_university_perc","More_university_perc_m","More_university_perc_f","wedding_perc","unemployment_perc","unemployment_perc_m","unemployment_perc_f","mortality_cancer_digestive_perc","mortality_cancer_digestive_perc_m","mortality_cancer_digestive_perc_f","mortality_cancer_stomach_perc","mortality_cancer_stomach_perc_m","mortality_cancer_stomach_perc_f","mortality_diabetes_perc","mortality_diabetes_perc_m","mortality_diabetes_perc_f","mortality_mental_disorders_perc","mortality_mental_disorders_perc_m","mortality_mental_disorders_perc_f","mortality_blood_perc","mortality_blood_perc_m","mortality_blood_perc_f","mortality_heart_perc","mortality_heart_perc_m","mortality_heart_perc_f","mortality_digestive_perc","mortality_digestive_perc_m","mortality_digestive_perc_f","mortality_liver_perc","mortality_liver_perc_m","mortality_liver_perc_f","mortality_suicide_simil_perc","mortality_suicide_simil_perc_m","mortality_suicide_simil_perc_f","Cigarettes_perc","Cigarettes_perc_m","Cigarettes_perc_f","Complete_breakfast_perc","Complete_breakfast_perc_m","Complete_breakfast_perc_f","Daily_cheese_perc","Daily_cheese_perc_m","Daily_cheese_perc_f","Daily_vegetables_perc","Daily_vegetables_perc_m","Daily_vegetables_perc_f","Dinner_principal_meal_perc","Dinner_principal_meal_perc_m","Dinner_principal_meal_perc_f","Red_meat_more_weekly_perc","Red_meat_more_weekly_perc_m","Red_meat_more_weekly_perc_f","Fish_more_weekly_perc","Fish_more_weekly_perc_m","Fish_more_weekly_perc_f","No_sport_perc","No_sport_perc_m","No_sport_perc_f","Regular_sport_perc","Regular_sport_perc_m","Regular_sport_perc_f","Geo_zones_Weekly_alcol_perc","Geo_zones_Weekly_alcol_perc_m","Geo_zones_Weekly_alcol_perc_f","Geo_zones_beer05more_daily_perc","Geo_zones_beer05more_daily_perc_m","Geo_zones_beer05more_daily_perc_f","Geo_zones_wine05more_daily_perc","Geo_zones_wine05more_daily_perc_m","Geo_zones_wine05more_daily_perc_f","bad_wealth_perc","bad_wealth_perc_m","bad_wealth_perc_f","life_exp_m","life_exp_f","life_exp","life_exp_good_wealth_m","life_exp_good_wealth_f","life_exp_good_wealth","life_exp_no_limitations_m","life_exp_no_limitations_f","life_exp_no_limitations","drug_consumption_perc","drug_consumption_perc_m","drug_consumption_perc_f","health_vs_gdp_expend_perc","family_health_vs_gdp_expend_perc","Urban_green","Avg_annual_wage","Avg_annual_wage_m","Avg_annual_wage_f","Medical_specialists_perc","Early_childhood_services_perc","Municipal_waste_generated","Separate_collection_municipal_waste_perc","Smoking_perc","Smoking_perc_m","Smoking_perc_f","Adequate_nutrition_perc","Adequate_nutrition_perc_m","Adequate_nutrition_perc_f","Alcohol_cons_perc","Alcohol_cons_perc_m","Alcohol_cons_perc_f","Air_quality_PM2.5_perc","Life_satisfaction_perc","Life_satisfaction_perc_m","Life_satisfaction_perc_f"
1,"Piemonte",2010,8.64,"Nord Ovest",8.86,8.44,33.74,41.85,26.2,23.49,29.22,17.54,4406230,2128733,2277497,178.55,23.06,20.15,25.78,8.47,8.45,8.49,3.2,2.68,3.68,29.82,18.62,38.15,2.25,77.5,81.63,73.66,10.52,10.5,10.54,3.2,7.52,6.91,8.29,10.44,11.19,6.11,1.57,1.8,0.85,2.96,2.46,2.02,3.3,2.2,2.41,40.69,35.8,25.69,10.89,11.87,5.67,4.4,4.34,2.64,1.17,1.41,0.6,0.85,1.26,0.36,11.85,12.69,10.61,77.75,75.6,79.79,31.04,31.44,30.65,62.12,56.62,67.33,30.52,32.49,28.65,72.85,77.17,68.77,53.88,53.66,54.08,32.29,28.67,35.72,24.74,30.06,19.72,8.1,13,3.53,0.82,1.33,0.35,3.8,6.74,1.05,6.1,5.13,7.01,79.22,84.38,81.8,59.55,57.58,58.565,65.66,66.52,66.09,41.4,36.98,45.57,8.68,1.92,NA,21724,25276.6,17279.5,NA,15.4,511,50.7,22.4,27.5,17.6,26.7,23.9,29.4,23.1,32.3,14.5,95.8,45.7,45.3,46.1
1,"Piemonte",2011,9.13,"Nord Ovest",9.43,8.86,32.55,41.03,24.67,22.51,23.71,21.3,4413816,2131684,2282132,179.52,23.29,20.43,25.96,9.05,8.95,9.14,3.04,2.58,3.46,29.96,18.67,38.4,2.25,78.45,82.6,74.6,10.41,10.02,10.77,3,7.56,6.79,8.51,10.83,11.48,6.12,1.62,1.8,0.86,3.06,2.51,1.99,3.72,2.5,2.58,40.04,34.91,24.11,11.14,11.85,5.52,4.31,4.05,2.55,0.97,1.1,0.52,0.97,1.45,0.41,12.16,13.43,10.38,80.98,78.55,83.28,32.03,33.03,31.09,60.5,55.23,65.48,32.89,35.42,30.49,71.9,74.76,69.2,52.93,52.79,53.06,31.55,27.12,35.72,24.72,28.51,21.12,8.66,14.35,3.32,1.13,2.11,0.21,3.5,5.94,1.2,5.66,4.35,6.87,79.35,84.41,81.88,59.71,59.28,59.495,66.03,67.71,66.87,39.09,35.18,42.78,8.49,1.99,24.9,22210,26001.8,17496.3,26.8,15,489,51.4,23.2,28.2,18.6,25.5,22.9,28,24.1,33.8,14.9,96.2,48.5,48.4,48.6
1,"Piemonte",2012,9.14,"Nord Ovest",9.1,9.18,34.85,43.08,27.22,19.17,20.26,18.06,4421281,2135647,2285634,181.83,23.64,20.82,26.27,8.26,7.95,8.56,38.3,35.93,40.35,29.84,18.49,38.37,2.27,79.05,83.05,75.35,11.11,10.27,11.88,3.2,9.2,8.14,10.48,11.01,11.23,6.33,1.49,1.68,0.73,3.17,2.67,1.91,4.05,2.52,2.74,42.02,34.82,24.78,11.7,11.88,5.74,4.42,4.08,2.59,0.97,1.09,0.52,0.92,1.31,0.43,11.71,12.41,10.73,80.84,79.19,82.39,29.69,30.88,28.58,60.28,56.65,63.68,32.36,36.84,28.17,73.07,77.48,68.94,52.86,53.16,52.58,29.75,25.13,34.08,25.03,29.89,20.49,6.53,10.36,2.93,0.61,1.06,0.19,2.7,4.7,0.82,5.75,4.15,7.24,79.62,84.38,82,61.36,57.83,59.595,65.9,67.33,66.615,41.49,36.4,46.28,8.79,2.14,24.8,22444,26274.6,17702.9,25.6,13.2,459,53.3,21.3,25.4,17.5,25.3,22.3,28.2,17.7,26.2,9.8,92.6,41.1,41.3,41
1,"Piemonte",2013,8.31,"Nord Ovest",9.08,7.6,33.09,40.52,26.25,21.74,18.41,25.34,4423370,2137449,2285922,184.76,24,21.21,26.6,8.74,8.4,9.06,38.76,36.23,40.95,30.69,17.64,40.57,2.26,79.74,79.74,84.03,11.74,11.74,11.04,2.9,10.53,10.12,11.04,10.7,10.99,5.91,1.53,1.64,0.79,3.15,2.59,1.89,4.07,2.55,2.7,40.75,33.07,23.52,11,10.97,5.28,4.33,3.76,2.6,0.91,1.01,0.49,0.91,1.36,0.37,11.99,13.23,10.14,81.36,79.07,83.51,31.34,32.38,30.37,62.85,58.01,67.38,32.12,35,29.43,68.84,73.26,64.69,52.61,53.45,51.83,35.29,28.96,41.23,19.42,23.85,15.26,6.84,11.09,2.87,0.73,1.27,0.24,3.03,5.17,1.03,6.79,5.85,7.66,79.73,84.57,82.15,59.37,56.68,58.025,65.02,66.22,65.62,41.26,36.42,45.82,8.64,2.21,24.8,22901.4,26723,18162.1,26,13.5,453,54.6,20.9,25.9,16.3,26.2,24.9,27.5,19.5,28.7,10.8,97.1,36.2,37.3,35.2
1,"Piemonte",2014,9.18,"Nord Ovest",10.04,8.39,32.8,41.64,24.64,16.38,16.18,16.59,4412243,2132496,2279748,188.52,24.4,21.64,26.98,9.6,9.29,9.9,39.41,36.87,41.66,29.9,15.94,40.54,2.24,80.9,84.72,77.37,12.03,11.61,12.41,2.8,11.29,10.66,12.08,10.58,10.59,5.78,1.57,1.88,0.64,2.97,2.31,1.76,4.06,2.53,2.55,40.2,31.31,22.87,10.84,10.45,5.14,4.09,3.59,2.29,0.94,1.1,0.45,0.9,1.33,0.36,12.36,13.82,10.49,79.4,77.31,81.35,29.71,29.13,30.26,58.82,53.39,63.91,30.37,32.44,28.44,63.67,70.4,57.37,53.5,53.57,53.45,32.19,29.15,35.04,23.33,27.33,19.58,7.56,12.17,3.24,0.83,1.52,0.18,2.85,4.99,0.85,6.33,5.41,7.19,80.22,84.95,82.585,59.81,58.15,58.98,65.85,67.22,66.535,42,37.14,46.59,8.79,2.32,24.9,23273,27190.4,18419.2,26.1,12.4,465,54.3,20.7,24.2,17.3,23.6,19.8,27.2,19.2,27.3,11.5,94.7,40.2,41.5,38.9
1,"Piemonte",2015,8.87,"Nord Ovest",9.26,8.5,32.06,40.32,24.42,20,18.7,21.33,4393894,2124854,2269041,192.39,24.73,22,27.3,9.64,9.28,9.98,2.53,2.11,2.91,30.04,16.46,40.44,2.25,81.75,85.45,78.33,12.17,11.42,12.87,3,10.22,10,10.5,10.82,10.51,5.94,1.52,1.53,0.79,3.34,2.63,1.87,5.01,2.76,3.17,43.78,32.99,24.01,11.42,10.73,5.21,4.27,3.63,2.37,0.84,0.97,0.37,0.88,1.28,0.37,12,13.06,10.45,81.16,79.41,82.79,30.54,31.66,29.49,61.7,56.84,66.25,33.85,36.81,31.07,64.2,69.35,59.37,56.36,57.13,55.65,30.04,27.32,32.58,24.66,28.81,20.78,8.11,13.21,3.37,0.77,1.35,0.24,2.83,5,0.8,5.86,5.26,6.42,79.9,84.49,82.195,58.88,57.75,58.315,65.26,65.64,65.45,44.77,40.42,48.87,8.69,2.4,25.2,23405.1,27379.9,18483.4,25.7,12.2,467,55.1,20.6,25.1,16.3,25.6,21.5,29.4,19.5,28.6,10.9,94.7,38.9,40.2,37.7
1,"Piemonte",2016,9.06,"Nord Ovest",9.52,8.64,31.81,41.02,23.37,24.3,25.82,22.62,4377287,2119945,2257342,196.23,25,22.26,27.57,9.61,9.26,9.93,40.06,37.17,42.59,31.12,18.67,40.69,2.24,82.5,86.02,79.24,12.46,11.69,13.18,3.1,9.35,8.84,9.96,10.93,10.9,6.43,1.46,1.63,0.75,3.15,2.72,1.86,4.8,3.1,3.25,41.13,33.85,24.72,10.37,10.76,5.04,4.28,3.79,2.63,0.95,0.99,0.57,0.8,1.18,0.32,11.38,12.51,9.83,81.81,78.55,84.88,27.93,28.12,27.75,60.11,54.39,65.48,27.87,31.82,24.15,64.05,68.42,59.93,55.53,54.15,56.82,32.64,28.72,36.33,26.95,32.01,22.2,8.91,14.02,4.15,0.67,1.19,0.19,2.79,4.97,0.75,6.61,5.49,7.65,80.45,84.91,82.68,59.81,59.16,59.485,65.37,67.35,66.36,45.61,42.35,48.69,8.54,2.35,25.3,23701.3,27679,18760.7,26.6,12.4,472,56.6,20.6,24.9,16.7,22.3,18.8,25.6,17.9,25.2,11,92.5,44.6,46.4,42.9
1,"Piemonte",2017,9.72,"Nord Ovest",10.58,8.92,32.01,40.29,24.34,18.56,20.09,16.96,4360130,2114985,2245145,200.2,25.24,22.5,27.82,9.55,9.29,9.8,40.13,36.69,43.2,31.21,19.51,40.23,2.2,83.22,86.7,80,13.38,12.25,14.44,2.9,9.11,8.19,10.22,10.56,10.51,6.11,1.38,1.45,0.76,3.47,2.85,2.08,5.37,3.32,3.57,42.38,33.41,25.17,10.47,10.56,5.05,4.41,3.9,2.61,0.96,1.11,0.49,0.77,1.06,0.35,11.6,12.57,10.32,81.23,79.33,83.01,27.96,29.24,26.75,58.83,55.33,62.11,28.98,30.82,27.25,63.37,69.46,57.67,54.17,54.91,53.48,33.98,29.72,37.96,25.79,30.35,21.53,7.23,11.27,3.46,0.67,1.17,0.21,2.47,4.07,0.97,6.9,4.86,8.8,80.43,84.7,82.565,59.68,57.04,58.36,64.26,65.7,64.98,44.28,39.99,48.34,8.32,2.36,25.6,23449.4,27435.8,18530.4,27,13.6,473,59.3,21.7,25.7,17.9,23.7,20.4,26.7,17.7,25.4,10.4,94.9,42.9,45.1,40.8
1,"Piemonte",2018,10.56,"Nord Ovest",11.34,9.83,33.31,39.18,27.82,21.44,24.58,18.3,4339238,2107249,2231990,204.57,25.48,22.76,28.04,9.7,9.49,9.89,39.81,36.04,43.22,33.8,23.09,42.11,2.18,84,87.57,80.7,14.26,13.1,15.33,3,8.22,7.55,9.05,10.5,10.4,5.82,1.41,1.54,0.69,3.38,2.81,1.95,5.49,3.35,3.56,41.7,32.32,24.02,9.98,9.95,4.59,4.27,3.52,2.63,0.85,0.84,0.5,0.91,1.3,0.38,11.04,12.49,9.14,79.83,77.32,82.2,28.35,28.56,28.14,57.81,50.32,64.87,27.9,29.39,26.48,59.57,66.09,53.42,54.1,53.99,54.21,27.41,23.34,31.25,28.02,32.69,23.62,7.83,12.12,3.82,0.88,1.58,0.23,2.42,4.28,0.67,6.09,3.98,8.05,80.48,84.91,82.695,60.95,57.5,59.225,65.71,64.53,65.12,47.03,41.99,51.81,8.34,2.37,25.8,23581,27482.2,18742.9,27.2,13.8,498,61.3,21,24.6,17.6,22.9,19.2,26.2,19.3,27.1,11.8,94.4,43.9,44.9,43.1
1,"Piemonte",2019,9.81,"Nord Ovest",10.02,9.61,33.39,42.01,25.46,21.2,24,17.97,4319891,2099041,2220850,209.65,25.74,23.05,28.28,9.45,9.29,9.61,39.3,35.53,42.74,33.7,22.82,42.2,2.19,84.91,88.35,81.72,14.37,13.72,14.98,2.8,7.65,6.34,9.24,10.73,10.56,5.86,1.29,1.29,0.69,3.43,2.73,1.95,5.57,3.22,3.59,41.67,31.67,23.35,10.22,9.85,4.65,4.32,3.63,2.45,0.89,0.91,0.48,0.78,1.14,0.29,11.33,11.92,10.44,80.74,78.34,83.02,27.6,27.36,27.83,56.84,52.03,61.39,27.98,31.83,24.33,62.29,67.1,57.73,56.68,57.89,55.53,28.8,25.73,31.71,27.45,31.89,23.24,8.02,11.5,4.75,0.72,1.16,0.31,2.19,3.58,0.89,6.06,5.59,6.49,80.76,85.2,82.98,60.71,57.06,58.885,65.64,66.23,65.935,45.24,39.6,50.58,8.49,2.38,26,23740.7,27663.3,18899.6,27.6,14.6,496,63.2,20.7,25.6,16.1,23.2,20.2,26,18.1,24.7,11.9,88.6,48.7,49.7,47.7
1,"Piemonte",2020,10.64,"Nord Ovest",11.08,10.24,33.82,41.43,26.78,24.78,29.66,19.55,4293081,2087230,2205852,213.58,25.95,23.27,28.49,9.59,9.42,9.76,38.77,34.98,42.22,32.75,22.45,40.8,2.17,84.95,88.37,81.78,14.62,13.86,15.33,1.7,7.52,6.5,8.76,10.4,9.87,5.7,1.33,1.36,0.65,4.28,3.2,2.44,6.28,3.36,4.11,45.16,33.88,25.01,11.1,10.84,4.86,4.38,3.81,2.39,0.82,0.88,0.41,0.82,1.26,0.24,10.99,11.93,9.74,81.61,78.81,84.26,27.39,29.54,25.35,56.04,50.79,61,28.25,32.73,24.01,61.39,64.69,58.27,54.45,53.19,55.64,31.84,27.57,35.88,27.85,33.25,22.75,7.95,12.48,3.7,1.14,2.08,0.25,2.29,4.1,0.59,6.23,4.78,7.58,79.06,83.89,81.475,62.78,59.03,60.905,66.3,65.01,65.655,42.13,37.09,46.88,9.38,2.4,26.3,22331.9,26081.5,17680,27.5,13.1,484,64.3,20.1,23.8,16.5,26.4,21,31.5,17.6,24.6,11,94.3,44,45.6,42.5
1,"Piemonte",2021,10.6,"Nord Ovest",12.13,9.2,30.73,37.18,24.79,19.3,21.25,17.13,4265648,2076623,2189025,217.3,26.13,23.46,28.66,9.76,9.69,9.82,37.01,33.09,40.68,34.54,24.86,42.11,2.16,NA,NA,NA,NA,NA,NA,2.8,7.34,6.18,8.75,10.48,9.72,5.78,1.33,1.33,0.66,3.67,2.93,2.02,5.56,3.02,3.61,39.99,29.1,22.31,9.56,8.94,4.28,4.39,3.66,2.46,0.75,0.9,0.31,0.88,1.31,0.31,10.79,11.82,9.47,82.65,79.85,85.3,26.53,25.99,27.04,56.46,49.9,62.67,28.22,31.32,25.28,64.42,68.95,60.12,60.99,59.89,62.03,30.21,28.04,32.27,26.04,31.08,21.26,6.29,9.41,3.35,0.66,1.13,0.22,2.29,3.8,0.87,5.61,4.21,6.92,80.1,84.79,82.445,62.37,59.33,60.85,66.04,65.91,65.975,42.52,37.7,47.09,NA,NA,26.7,NA,NA,NA,28.5,14.8,500,65.8,21.3,24.8,18,23.7,19.5,27.7,17.8,23,12.9,87.5,45.6,47.3,44.1
1,"Piemonte",2022,10.58,"Nord Ovest",12,9.25,34.04,40.95,27.6,21.72,24.34,18.98,4253851,2073308,2180543,222.63,26.31,23.66,28.84,9.64,9.64,9.63,36.79,32.83,40.54,34.56,23.8,43,2.15,NA,NA,NA,NA,NA,NA,3,6.5,5.93,7.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.63,11.29,9.67,81.8,79.07,84.37,24.94,25.86,24.08,55.91,49.64,61.83,28.71,32.22,25.39,62.44,66.87,58.26,57.86,57.12,58.57,30.97,27.26,34.48,28.87,33.05,24.92,7.95,12.03,4.12,1.09,1.91,0.32,2.43,3.73,1.21,6.46,5.2,7.63,80.1,84.79,82.445,61.93,59.68,60.805,65.92,65.55,65.735,43.39,39.4,47.16,NA,NA,NA,NA,NA,NA,29.6,NA,NA,NA,19.9,24.7,15.3,22.2,18.9,25.4,18.1,24.5,12,NA,48.7,50.8,46.8
2,"Valle d'Aosta",2010,9.42,"Nord Ovest",12.23,6.76,35.2,41.21,29.48,14.29,14.29,14.29,127055,62112,64943,150.42,20.99,18.13,23.73,6.41,6.01,6.8,6.29,4.69,7.64,33.56,18.34,44.87,2.22,77.08,80.15,74.18,8.5,8.33,8.66,3.2,4.46,3.9,5.16,9.06,10.92,5.61,1.02,1.2,0.54,2.5,2.41,1.87,3.98,3.39,2.77,33.58,34.24,22.21,9.53,12.11,5.13,5.23,5.57,3.08,1.8,2.35,0.8,0.86,1.37,0.21,11.98,13.28,10.23,80.84,76.46,85.06,47.01,48.21,45.86,60.58,55.2,65.75,18.13,21.11,15.26,78.83,81.24,76.51,54.91,53.98,55.81,33.87,27.87,39.68,26.61,31.15,22.22,8.1,13,3.53,0.82,1.33,0.35,3.8,6.74,1.05,6,5.26,6.71,78.4,84.43,81.415,58.92,59.74,59.33,62.38,63.25,62.815,38.68,35.58,41.67,8.21,2.46,NA,18614,21819.7,14400.7,NA,27.1,629,40.1,19.3,22.4,16.3,20.8,17.8,23.7,31,41.8,20.7,100,55.9,57.3,54.6
2,"Valle d'Aosta",2011,8.29,"Nord Ovest",9.56,7.1,34.79,44.52,25.62,18.75,25,12.5,127229,62083,65146,151.36,21.21,18.38,23.9,6.84,6.32,7.33,6.04,4.7,7.14,37.79,25.38,47.05,2.19,78.08,81.52,74.83,8.94,8.48,9.36,3.2,5.25,5.21,5.3,12.48,16.18,6.39,2.12,2.66,1.38,2.59,2.36,1.73,5.18,3.5,3.97,31.63,30.7,20.53,10.44,11.42,6.28,3.61,4.21,2.09,1.1,1.33,0.71,1.26,1.72,0.65,14.11,16.64,11.3,77.57,73.56,81.41,39.03,40.4,37.71,51.99,45.31,58.39,23.93,24.53,23.35,76.08,80.73,71.62,53.62,53.22,53.99,32.52,26.67,38.1,29.27,38.33,20.63,8.66,14.35,3.32,1.13,2.11,0.21,3.5,5.94,1.2,4.96,3.02,6.81,78.56,84.95,81.755,62.99,57.95,60.47,65.12,66.34,65.73,38.16,33.21,42.91,8.29,2.6,18.7,18924,22305.2,14532.9,26.4,21.2,616,41.9,16,17.7,14.3,22.2,17.7,26.6,28.7,39.5,18.5,100,53.5,54.4,52.7
2,"Valle d'Aosta",2012,9.26,"Nord Ovest",11.79,6.93,32.78,40.39,25.72,23.08,28.57,16.67,127628,62210,65418,153.14,21.52,18.84,24.07,6.66,5.98,7.3,33.41,29.38,36.56,40.59,29.43,48.94,2.16,79.29,82.01,76.74,10.79,10,11.53,3.2,7.11,7.24,6.95,9.59,11.48,5.49,1.81,1.41,1.68,2.59,1.99,1.85,4.32,1.27,4.16,34.11,30.43,22.56,10.69,10.12,6.62,4.32,4.74,2.92,1.1,1.5,0.64,1.02,1.71,0.21,12.83,13.95,11.06,75.84,73.43,78.18,36.46,36.69,36.24,54.66,49.2,59.97,21.53,23.78,19.33,79.18,82.19,76.25,55.17,54.29,56.03,30.89,26.23,35.48,26.02,32.79,19.35,6.53,10.36,2.93,0.61,1.06,0.19,2.7,4.7,0.82,4.77,3.88,5.61,79.56,84.27,81.915,61.47,61.86,61.665,66.51,65.45,65.98,38.41,31.39,45.14,8.03,2.4,18.8,19094,22507.7,14732.8,26.8,20.4,600,44.8,15.7,20.1,11.6,20,17.2,22.8,24.6,34.7,15,100,43.7,43.3,44.1
2,"Valle d'Aosta",2013,11.72,"Nord Ovest",13.7,9.89,31.63,38.6,25.2,26.67,25,28.57,128098,62397,65702,155.98,21.88,19.34,24.28,7.13,6.38,7.85,35.09,30.58,38.58,39.65,26.27,49.79,2.14,80.21,80.21,82.82,11.96,11.96,10.69,3.1,8.26,8.35,8.15,7.64,7.97,5.12,1.48,1.11,1.12,1.72,1.59,0.99,5.77,3.87,4.17,31.2,29.95,18.72,10.3,12.87,4.68,3.9,4.37,2.09,0.94,1.17,0.55,1.4,1.62,1.27,11.45,12.2,10.38,80.88,79.34,82.36,30.35,30.06,30.62,57.07,53.73,60.27,17.56,18.94,16.24,74.79,80.09,69.71,51.35,50.4,52.27,31.2,26.23,35.94,28.8,36.07,21.88,6.84,11.09,2.87,0.73,1.27,0.24,3.03,5.17,1.03,6.38,6.4,6.37,79.65,84.55,82.1,60.26,57.95,59.105,64.71,65.93,65.32,38.41,33.85,42.77,8.3,2.5,18.6,19567.2,22979.5,15259.6,27.3,22.2,567,44.8,18.3,22.7,14,17.7,13.7,21.4,25.5,35.6,15.8,100,47.1,48.6,45.7
2,"Valle d'Aosta",2014,9.93,"Nord Ovest",11.67,8.28,31.47,37.69,25.58,26.67,28.57,25,128109,62367,65742,159.96,22.32,19.83,24.69,7.27,6.45,8.04,36.53,31.44,40.41,36.27,23.69,45.97,2.12,80.93,83.61,78.42,11.1,9.73,12.38,2.9,8.92,9.34,8.42,9.19,9.48,5.42,1.17,1.71,0.37,1.95,1.32,1.71,5.76,2.91,4.44,33.01,31.33,18.72,9.26,9.08,5.25,3.66,3.38,2.41,0.62,0.93,0.2,1.4,2.81,0.14,12.54,13.22,11.63,77.66,73.1,82.02,32.39,34.26,30.6,61.33,56.03,66.38,21.73,22.39,21.11,69.67,75.89,63.72,49.78,49.03,50.5,29.6,22.95,35.94,30.4,37.7,23.44,7.56,12.17,3.24,0.83,1.52,0.18,2.85,4.99,0.85,6.6,5.57,7.56,79.73,84.55,82.14,61.15,58.49,59.82,66.42,66.28,66.35,40.91,36.68,44.94,8.01,2.45,18.6,19659.7,23019.8,15439.8,27.1,24.6,565,42.9,18.3,21.7,15,16.5,12.5,20.4,23.4,32.7,14.4,100,46.3,46,46.5
2,"Valle d'Aosta",2015,10.69,"Nord Ovest",12.71,8.81,30.44,35.48,25.73,21.43,28.57,14.29,127972,62296,65676,161.95,22.55,20.07,24.91,7.1,6.25,7.91,5.51,4.42,6.33,36.23,24.51,45.3,2.1,81.72,84.59,79.03,11.32,9.85,12.71,3,8.88,9.54,8.09,12.75,14.44,6.94,1.88,2.21,0.85,3.05,2.95,1.73,7.59,5.27,4.63,36.15,29.1,21.65,9.62,9.02,5.13,5.32,4.62,3.23,0.78,1.17,0.27,1.17,1.62,0.63,12.24,14.2,9.82,79.57,75.45,83.43,33.7,33.16,34.21,58.38,52.34,64.05,22.94,25.61,20.42,69.85,73.97,65.98,55.12,53.84,56.33,25,23.33,26.56,31.45,40,23.44,8.11,13.21,3.37,0.77,1.35,0.24,2.83,5,0.8,7.76,4.53,10.79,78.75,83.62,81.185,61.88,58.76,60.32,64.68,63.24,63.96,46.09,41.58,50.38,7.91,2.62,18.7,19743.6,23249.7,15414.1,27.1,24.7,568,47.8,19,22.1,16.2,18.2,15.6,20.6,24.3,34.9,14.3,100,48.1,49.8,46.4
2,"Valle d'Aosta",2016,11.69,"Nord Ovest",12.11,11.3,31.71,38.85,25.07,15.38,14.29,16.67,126854,61873,64981,169.04,23.05,20.66,25.33,6.69,5.79,7.54,39.05,33.56,43.08,33.85,21.84,43.19,2.05,82.96,85.9,80.21,11.75,9.86,13.52,3.1,8.67,8.82,8.51,10.46,11.01,6.8,1.42,1.39,0.98,2.44,2,1.82,8.18,6.31,5.77,33.91,29.63,22.63,9.2,11.74,4.3,4.25,4.55,2.27,1.34,1.59,0.68,1.42,2.38,0.26,11.9,13.02,10.49,78.12,72.71,83.23,35.6,36.5,34.74,57.68,51.03,63.96,22.76,25.51,20.17,60.79,68.13,53.85,51.99,52.27,51.72,31.71,28.33,34.92,28.46,31.67,25.4,8.91,14.02,4.15,0.67,1.19,0.19,2.79,4.97,0.75,5.29,4.27,6.24,79.36,84.5,81.93,60.39,59.5,59.945,62.42,65.7,64.06,43.64,35.82,51.1,8.05,2.66,18.8,19507,22715.4,15494.8,28.3,22.6,573,55.6,19.3,22,16.8,20.8,19.7,21.8,27.3,38,17.2,100,45.8,47.8,43.9
2,"Valle d'Aosta",2017,10.68,"Nord Ovest",13.31,8.25,30.85,36.99,25.17,14.29,12.5,16.67,126445,61806,64640,173.58,23.35,20.99,25.62,6.52,5.72,7.29,39.58,33.2,44.37,35.49,23.27,45.08,1.96,84.16,86.53,81.93,13.38,10.93,15.68,2.8,7.8,7.9,7.68,11.3,11.72,7.22,1.19,0.9,1.06,2.61,3.05,1.36,11.14,7.24,8.14,36.27,31.6,22.97,10.43,11.64,5.27,4.82,4.62,2.8,0.79,1.13,0.2,0.87,1.46,0.16,13.36,14.68,11.61,79.02,74.84,83,33.18,33.56,32.82,53.89,50.32,57.28,21,25.46,16.75,66.63,68.51,64.84,58.55,57.84,59.23,31.71,28.33,34.92,26.02,31.67,20.63,7.23,11.27,3.46,0.67,1.17,0.21,2.47,4.07,0.97,5.14,4.53,5.72,79.79,84.3,82.045,62.24,58.11,60.175,65.17,68.58,66.875,39.95,32.44,47.14,7.86,2.69,18.8,18941.4,22257.4,14943.8,28.2,27.3,583,61.1,19.5,23.3,15.8,18.3,15.6,20.9,22.8,33.3,12.6,100,47.2,49.2,45.4
